node		min		max		num_of_points
X		0		100		100

XL		0		50		51
XR		51		100		49

XLL		0		25		32
XLR		28		50		19
XRL		51		74		22
XRR		76		100		27

XLLL		0		12		14
XLLR		14		25		18
XLRL		28		39		12
XLRR		41		50		7
XRLL		51		62		12
XRLR		66		74		10
XRRL		76		88		15
XRRR		93		100		12

XLLLL		0		6		8
XLLLR		8		12		6
XLLRL		14		18		7
XLLRR		20		25		11
XLRLL		28		32		8
XLRLR		34		39		4
XLRRL		41		43		2
XLRRR		46		50		5
XRLLL		51		55		9
XRLLR		59		62		3
XRLRL		66		70		8
XRLRR		71		74		2
XRRLL		76		82		6
XRRLR		83		88		9
XRRRL		93		96		9
XRRRR		97		100		3

XLLLLL		0		2		4
XLLLLR		4		6		4
XLLLRL		8		10		4
XLLLRR		11		12		2
XLLRLL		14		16		6
XLLRLR		18		18		1
XLLRRL		20		22		7
XLLRRR		24		25		4
XLRLLL		28		30		5
XLRLLR		32		32		3
XRLLLL		51		53		5
XRLLLR		54		55		4
XRLRLL		66		68		4
XRLRLR		69		70		4
XRRLLL		76		78		3
XRRLLR		80		82		3
XRRLRL		83		85		5
XRRLRR		86		88		4
XRRRLL		93		94		3
XRRRLR		95		96		6

XLLRLLL		14		15		5
XLLRLLR		16		16		1
XLLRRLL		20		20		3
XLLRRLR		22		22		4
XRRRLRL		95		95		4
XRRRLRR		96		96		2
