node	min		max		num_of_points
X		0		100		100

XL		0		46		51
XR		52		100		49

XLL		0		23		23
XLR		24		46		28
XRL		52		76		25
XRR		77		100		24

XLLL		0		11		13
XLLR		12		23		10
XLRL		24		35		11
XLRR		36		46		17
XRLL		52		64		16
XRLR		66		76		9
XRRL		77		88		13
XRRR		89		100		11

XLLLL		0		4		4
XLLLR		6		11		9
XLLRL		12		16		5
XLLRR		19		23		5
XLRLL		24		28		7
XLRLR		30		35		4
XLRRL		36		39		6
XLRRR		42		46		11
XRLLL		52		58		8
XRLLR		59		64		8
XRLRL		66		69		4
XRLRR		72		76		5
XRRLL		77		81		9
XRRLR		84		88		4
XRRRL		89		94		5
XRRRR		96		100		6

XLLLRL		6		8		4
XLLLRR		9		11		5
XLRLLL		24		26		4
XLRLLR		27		28		3
XLRRLL		36		37		2
XLRRLR		38		39		4
XLRRRL		42		44		6
XLRRRR		45		46		5
XRLLLL		52		53		3
XRLLLR		56		58		5
XRLLRL		59		61		5
XRLLRR		63		64		3
XRRLLL		77		79		7
XRRLLR		80		81		2
XRRRRL		96		96		1
XRRRRR		99		100		5

XLRRRLL		42		43		4
XLRRRLR		44		44		2
XRRLLLL		77		78		4
XRRLLLR		79		79		3
