node		min		max		num_of_points
X		0		100		100

XL		0		47		50
XR		51		100		50

XLL		0		23		28
XLR		24		47		22
XRL		51		75		18
XRR		77		100		32

XLLL		0		11		10
XLLR		15		23		18
XLRL		24		35		10
XLRR		36		47		12
XRLL		51		56		7
XRLR		65		75		11
XRRL		77		88		16
XRRR		89		100		16

XLLLL		0		4		3
XLLLR		6		11		7
XLLRL		15		19		6
XLLRR		20		23		12
XLRLL		24		28		8
XLRLR		31		35		2
XLRRL		36		41		8
XLRRR		42		47		4
XRLLL		51		51		1
XRLLR		54		56		6
XRLRL		65		70		7
XRLRR		74		75		4
XRRLL		77		82		11
XRRLR		84		88		5
XRRRL		89		93		8
XRRRR		95		100		8

XLLLRL		6		8		3
XLLLRR		9		11		4
XLLRLL		15		17		4
XLLRLR		18		19		2
XLLRRL		20		21		5
XLLRRR		22		23		7
XLRLLL		24		26		7
XLRLLR		28		28		1
XLRRLL		36		38		6
XLRRLR		40		41		2
XRLLRL		54		55		4
XRLLRR		56		56		2
XRLRLL		65		67		5
XRLRLR		68		70		2
XRRLLL		77		79		8
XRRLLR		80		82		3
XRRRLL		89		91		5
XRRRLR		92		93		3
XRRRRL		95		97		2
XRRRRR		98		100		6

XLLRRRL		22		22		5
XLLRRRR		23		23		2
XLRLLLL		24		25		3
XLRLLLR		26		26		4
XLRRLLL		36		37		3
XLRRLLR		38		38		3
XRRLLLL		77		78		7
XRRLLLR		79		79		1
XRRRRRL		98		99		5
XRRRRRR		100		100		1

XRRLLLLL		77		77		5
XRRLLLLR		78		78		2
